host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server
h3,220.645,0.0,53,2,10000000,129046.12975391498,57319816,363804,19.869925,0.934362,11.828478,67209812,58982400,8227412,12.241385231073105,3,h14
h5,310.042,0.0,56,4,10000000,14571.435294117648,4776,1233796,35.057423,0.993623,21.954121,67209812,67371008,-161196,-0.239839980507608,3,h10
h6,158.653,0.0,33,1,10000000,12663.040816326533,5246,1235732,35.472491,0.994714,22.76845,67209812,67371008,-161196,-0.239839980507608,3,h14
h7,344.312,0.0,68,3,10000000,16973.78787878788,996302,1244238,32.847469,0.989632,19.843083,67209812,67108864,100948,0.1501983073542893,3,h14
h8,250.356,0.0,52,2,10000000,32040.89156626506,4060164,1258624,27.562605,0.969019,15.089048,67209812,65536000,1673812,2.490428034525673,3,h14
h9,446.843,0.0,38,2,10000000,42803.985,7275654,1285143,32.429519,0.988502,19.393645,67209812,66846720,363092,0.5402365952161866,3,h10
h11,480.635,0.0,41,2,10000000,49683.47659574468,10367030,1308587,27.538301,0.97489,16.001589,67209812,65536000,1673812,2.490428034525673,3,h10
h12,347.722,0.0,70,3,10000000,62703.77695167287,15522322,1344994,25.356855,0.967376,14.864623,67209812,62390272,4819540,7.170887488868441,3,h10
h13,229.956,0.0,53,2,10000000,79779.5511551155,22785782,1387422,25.192009,0.963069,14.326039,67209812,60030976,7178836,10.681232079625516,3,h10
h1,339.936,0.0,87,4,10000000,99608.96142433234,32129350,1438870,21.596514,0.943609,12.487888,67209812,58982400,8227412,12.241385231073105,3,h10
h2,280.56,0.0,73,3,10000000,113713.60916442049,40690828,1496921,26.255033,0.967235,14.845954,67209812,62390272,4819540,7.170887488868441,3,h14
h3,229.724,0.0,59,2,10000000,122267.04938271604,47960612,1557543,25.639207,0.964307,14.474168,67209812,60030976,7178836,10.681232079625516,3,h14
h4,270.685,0.0,85,3,10000000,134176.6173120729,57276222,1627313,21.574491,0.943175,12.454624,67209812,58982400,8227412,12.241385231073105,3,h14
h6,347.541,0.0,9,6,10000000,5848.0,4946,538918,36.602973,0.996137,24.130475,67209812,67371008,-161196,-0.239839980507608,3,h10
h7,347.032,0.0,0,3,10000000,5133.66037735849,5202,538966,36.507699,0.996039,24.022245,67209812,67371008,-161196,-0.239839980507608,3,h14
h8,215.848,0.0,42,2,10000000,11029.1,996258,547816,35.713747,0.993668,21.984696,67209812,67108864,100948,0.1501983073542893,3,h14
h9,424.922,0.0,72,4,10000000,26704.344827586207,4084564,561992,28.190285,0.979206,16.820559,67209812,66060288,1149524,1.7103514588018789,3,h14
h11,544.603,0.0,52,2,10000000,37833.00961538462,7288046,581220,35.5677,0.99343,21.824088,67209812,67108864,100948,0.1501983073542893,3,h10
h12,466.117,0.0,74,3,10000000,45379.48760330579,10376352,605484,30.21031,0.984019,17.963844,67209812,66060288,1149524,1.7103514588018789,3,h10
h13,249.2,0.0,53,2,10000000,58691.19565217391,15531480,667290,26.023858,0.971146,15.397907,67209812,62914560,4295252,6.390810913144645,3,h10
h1,324.434,0.0,87,4,10000000,80700.72025723473,22792262,2305662,25.868885,0.966952,14.808593,67209812,60293120,6916692,10.29119379176362,3,h10
h2,337.388,0.0,104,4,10000000,109640.63188405798,32164276,5661742,25.087957,0.961803,14.179743,67209812,59244544,7965268,11.851346943211208,3,h10
h3,232.019,0.0,47,2,10000000,135525.32453825857,40686062,10678036,26.558078,0.971063,15.385479,67209812,62914560,4295252,6.390810913144645,3,h14
h4,368.484,0.0,71,3,10000000,158131.09927360775,47946344,17361800,22.075899,0.947146,12.769191,67209812,60293120,6916692,10.29119379176362,3,h14
h5,227.581,0.0,48,2,10000000,189280.2371364653,57241156,27367110,25.15874,0.962275,14.233666,67209812,59506688,7703124,11.461308655349312,3,h14
h7,252.195,0.0,96,3,10000000,29514.30681818182,5028,2592231,36.436372,0.995989,23.967844,67209812,67371008,-161196,-0.239839980507608,3,h14
h8,331.4,0.0,56,6,10000000,26476.22549019608,4860,2695715,37.963672,0.997495,26.011935,67209812,67371008,-161196,-0.239839980507608,3,h10
h9,209.885,0.0,152,2,10000000,27214.45588235294,995806,2705360,35.165029,0.992671,21.349506,67209812,67108864,100948,0.1501983073542893,3,h10
h11,218.894,0.0,76,2,10000000,40021.77647058824,4084264,2719438,30.094771,0.982814,17.648209,67209812,66060288,1149524,1.7103514588018789,3,h10
h12,371.455,0.0,51,2,10000000,48689.63725490196,7288128,2644558,36.42244,0.994338,22.470385,67209812,67108864,100948,0.1501983073542893,3,h14
h13,547.861,0.0,69,2,10000000,54809.57142857143,10376434,2668244,26.276683,0.976832,16.351055,67209812,66060288,1149524,1.7103514588018789,3,h14
h1,486.037,0.0,88,3,10000000,67158.99632352941,15562144,2705103,27.110067,0.969932,15.218913,67209812,62914560,4295252,6.390810913144645,3,h14
h2,347.318,0.0,86,3,10000000,83593.53267973856,22792428,2787193,25.77762,0.965823,14.662682,67209812,60293120,6916692,10.29119379176362,3,h14
h3,214.166,0.0,65,2,10000000,109259.17352941175,32151676,4996443,25.655678,0.965385,14.607394,67209812,59506688,7703124,11.461308655349312,3,h14
h4,284.173,0.0,96,3,10000000,134358.59625668448,40690610,9559505,26.275906,0.970356,15.280559,67209812,62914560,4295252,6.390810913144645,3,h10
h5,327.169,0.0,116,4,10000000,157174.81907090463,47900240,16384261,25.765456,0.966119,14.700405,67209812,60293120,6916692,10.29119379176362,3,h10
h6,277.747,0.0,109,3,10000000,186998.41760722347,57240982,25599317,21.912735,0.944947,12.592219,67209812,59506688,7703124,11.461308655349312,3,h10
h8,259.415,0.0,53,3,10000000,3897.256097560976,4776,314799,34.196542,0.993727,22.025536,67209812,67371008,-161196,-0.239839980507608,3,h10
h9,260.145,0.0,58,3,10000000,3940.547368421053,5120,369232,36.777644,0.995881,23.852512,67209812,67371008,-161196,-0.239839980507608,3,h14
h11,162.168,0.0,21,1,10000000,10581.353846153846,998328,377248,34.416071,0.991803,20.863317,67209812,67108864,100948,0.1501983073542893,3,h14
h12,224.891,0.0,43,2,10000000,27249.548780487807,4076802,392124,27.524065,0.979047,16.787465,67209812,65798144,1411668,2.1003897466637755,3,h14
h13,357.406,0.0,45,2,10000000,38573.18686868687,7284738,352753,34.64316,0.993279,21.725351,67209812,67108864,100948,0.1501983073542893,3,h10
h1,651.13,0.0,92,4,10000000,46306.22844827586,10376294,366751,28.344845,0.978931,16.763528,67209812,65798144,1411668,2.1003897466637755,3,h10
h2,419.729,0.0,97,4,10000000,59859.827067669175,15525254,397460,26.674023,0.970588,15.314825,67209812,62914560,4295252,6.390810913144645,3,h10
h3,334.639,0.0,94,4,10000000,77440.58666666667,22792134,440042,25.134095,0.960233,14.004762,67209812,60293120,6916692,10.29119379176362,3,h10
h4,274.149,0.0,67,3,10000000,97772.53293413174,32164232,491794,21.065928,0.940042,12.22155,67209812,59244544,7965268,11.851346943211208,3,h10
h5,234.359,0.0,54,2,10000000,112207.79619565218,40690786,601683,26.78792,0.967668,14.903699,67209812,62652416,4557396,6.780849201006543,3,h14
h6,179.622,0.0,29,1,10000000,120952.9129353234,47960570,662501,22.201094,0.947812,12.824302,67209812,60293120,6916692,10.29119379176362,3,h14
h7,282.881,0.0,67,3,10000000,133133.15366972476,57313518,732537,25.029458,0.960062,13.986098,67209812,59244544,7965268,11.851346943211208,3,h14
h9,203.08,0.0,50,2,10000000,1230.6296296296296,4818,94863,35.91778,0.995491,23.459365,67209812,67371008,-161196,-0.239839980507608,3,h10
h11,156.592,0.0,20,1,10000000,1266.3297872340424,4986,114049,36.800564,0.996191,24.192354,67209812,67371008,-161196,-0.239839980507608,3,h14
h12,213.879,0.0,38,2,10000000,8727.2578125,995972,121117,34.419302,0.990671,20.301467,67209812,67108864,100948,0.1501983073542893,3,h14
h13,229.756,0.0,52,2,10000000,25891.23456790124,4057982,136398,25.207775,0.972476,15.602874,67209812,66060288,1149524,1.7103514588018789,3,h14
h1,439.812,0.0,101,4,10000000,37810.02551020408,7278766,131999,33.844037,0.991394,20.652218,67209812,67108864,100948,0.1501983073542893,3,h10
h2,794.648,0.0,92,4,10000000,45643.526086956525,10351864,146147,25.787419,0.974019,15.853372,67209812,66060288,1149524,1.7103514588018789,3,h10
h3,332.63,0.0,113,4,10000000,59449.79166666666,15522476,172269,26.001803,0.968548,15.023489,67209812,62914560,4295252,6.390810913144645,3,h10
h4,280.896,0.0,74,3,10000000,76914.77926421404,22792344,205175,25.084874,0.959356,13.910077,67209812,60293120,6916692,10.29119379176362,3,h10
h5,332.724,0.0,97,4,10000000,97294.12312312312,32151592,247351,21.598032,0.941531,12.330754,67209812,59506688,7703124,11.461308655349312,3,h10
h6,174.795,0.0,28,1,10000000,111852.60217983653,40685972,363933,26.657165,0.970591,15.315255,67209812,62914560,4295252,6.390810913144645,3,h14
h7,279.132,0.0,65,3,10000000,120740.62094763092,47954168,462821,25.752843,0.965535,14.626206,67209812,60293120,6916692,10.29119379176362,3,h14
h8,220.416,0.0,40,2,10000000,137641.2068965517,57241108,2632817,21.209371,0.942046,12.369196,67209812,59506688,7703124,11.461308655349312,3,h14
h11,304.295,0.0,17,1,10000000,4321.865853658536,4902,349491,36.55078,0.995613,23.578717,67209812,67371008,-161196,-0.239839980507608,3,h14
h12,262.283,0.0,62,3,10000000,3748.442105263158,4818,351284,36.51291,0.995865,23.834749,67209812,67371008,-161196,-0.239839980507608,3,h10
h13,229.266,0.0,37,2,10000000,10498.612403100777,995874,358447,36.287495,0.994408,22.524114,67209812,67108864,100948,0.1501983073542893,3,h10
h1,388.083,0.0,113,4,10000000,27371.355828220858,4088526,373005,24.779143,0.972421,15.594158,67209812,66060288,1149524,1.7103514588018789,3,h10
h2,596.287,0.0,74,3,10000000,39010.77664974619,7287918,397205,34.587779,0.992492,21.244666,67209812,67108864,100948,0.1501983073542893,3,h14
h3,365.84,0.0,49,2,10000000,46712.393939393936,10366988,423575,29.618144,0.982404,17.545846,67209812,66060288,1149524,1.7103514588018789,3,h14
h4,365.77,0.0,70,3,10000000,60315.79245283019,15525254,458431,26.174306,0.970617,15.319026,67209812,62914560,4295252,6.390810913144645,3,h14
h5,233.981,0.0,48,2,10000000,77902.47157190635,22792050,500789,25.79452,0.964932,14.550913,67209812,60293120,6916692,10.29119379176362,3,h14
h6,187.249,0.0,27,1,10000000,97956.04191616768,32167134,550184,21.281196,0.942899,12.433583,67209812,59244544,7965268,11.851346943211208,3,h14
h7,343.966,0.0,108,4,10000000,112154.69565217392,40690484,582444,27.383684,0.97286,15.663844,67209812,62914560,4295252,6.390810913144645,3,h10
h8,282.257,0.0,84,3,10000000,120913.83582089552,47960352,647010,26.002194,0.965918,14.674808,67209812,60293120,6916692,10.29119379176362,3,h10
h9,223.622,0.0,52,2,10000000,133056.04587155965,57286660,725776,21.267722,0.943208,12.457093,67209812,59244544,7965268,11.851346943211208,3,h10
h13,204.996,0.0,47,2,10000000,5626.03488372093,4776,479063,42.165645,0.997984,26.955693,67209812,67371008,-161196,-0.23983998050760802,3,h10
h1,364.603,0.0,34,4,10000000,4895.828282828283,5154,479533,40.22767,0.996819,24.974347,67209812,67371008,-161196,-0.23983998050760802,3,h14
h2,351.227,0.0,53,3,10000000,11162.45112781955,996210,488396,20.714238,0.833743,7.792209,67209812,67371008,-161196,-0.23983998050760802,3,h14
h3,316.139,0.0,39,2,10000000,27422.347305389223,4058150,521382,26.93251,0.970587,15.314581,67209812,66584576,625236,0.9302748830780839,3,h14
h4,615.174,0.0,70,3,10000000,46031.3631840796,7275570,1976734,20.611466,0.919413,10.937357,67209812,64225280,2984532,4.440619473835159,3,h10
h5,510.533,0.0,87,4,10000000,52592.97872340425,10349802,2009548,20.762238,0.897137,9.877406,67209812,59768832,7440980,11.071270367487413,3,h10
h6,279.462,0.0,67,3,10000000,65379.49814126394,15532698,2054387,19.523888,0.881605,9.266657,67209812,55836672,11373140,16.921844685415873,3,h10
h7,330.41,0.0,101,4,10000000,81944.3597359736,22722728,2106413,25.633048,0.963914,14.42659,67209812,60293120,6916692,10.29119379176362,3,h10
h8,293.989,0.0,160,3,10000000,101439.9201183432,32119872,2166821,18.052469,0.853016,8.327311,67209812,52428800,14781012,21.99234242762054,3,h10
h9,327.242,0.0,160,3,10000000,115211.39516129032,40686308,2172331,17.742551,0.849706,8.23059,67209812,51118080,16091732,23.942533866930024,3,h14
h11,175.97,0.0,53,1,10000000,123603.73645320197,47950168,2232949,17.620151,0.845687,8.115982,67209812,50069504,17140308,25.502687018377614,3,h14
h12,233.884,0.0,107,2,10000000,135311.0909090909,57234738,2302142,32.754235,0.988755,19.490359,67209812,67371008,-161196,-0.23983998050760802,3,h14
