host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server
h4,269.814,0.0,44,3,10000000,16557.03488372093,4818,1419087,30.592189,0.990578,20.258387,67209812,67371008,-161196,-0.239839980507608,3,h10
h5,289.583,0.0,16,2,10000000,14391.232323232323,5072,1419660,31.16253,0.989903,19.958015,67209812,67371008,-161196,-0.239839980507608,3,h14
h7,274.329,0.0,76,3,10000000,18151.406015037595,983906,1430231,29.300963,0.980979,17.207708,67209812,66846720,363092,0.5402365952161866,3,h14
h8,275.613,0.0,58,2,10000000,32876.17261904762,4078310,1444887,23.850219,0.962515,14.261429,67209812,65273856,1935956,2.88046632238757,3,h14
h9,663.558,0.0,56,2,10000000,43307.42079207921,7275654,1472445,29.50792,0.981958,17.437061,67209812,66846720,363092,0.5402365952161866,3,h10
h11,482.879,0.0,55,2,10000000,50202.63983050847,10351766,1496057,23.457986,0.960959,14.08476,67209812,65273856,1935956,2.88046632238757,3,h10
h12,357.186,0.0,68,3,10000000,63166.86666666667,15522266,1532788,23.650878,0.956093,13.574634,67209812,62128128,5081684,7.560925776730339,3,h10
h13,220.246,0.0,49,2,10000000,80155.61513157895,22792008,1575299,21.267089,0.944204,12.53398,67209812,59768832,7440980,11.071270367487411,3,h10
h1,361.117,0.0,109,4,10000000,99887.48816568048,32135196,1626775,20.514328,0.938418,12.105453,67209812,58982400,8227412,12.241385231073105,3,h10
h2,360.795,0.0,77,3,10000000,113853.06720430109,40678510,1674831,24.137367,0.956141,13.579459,67209812,62128128,5081684,7.560925776730339,3,h14
h3,242.451,0.0,57,2,10000000,122403.19458128078,47960648,1735049,24.707208,0.956905,13.655687,67209812,59768832,7440980,11.071270367487411,3,h14
h6,207.925,0.0,30,1,10000000,134285.38863636364,57280926,1804645,20.939672,0.936811,11.993566,67209812,58982400,8227412,12.241385231073105,3,h14
h5,307.974,0.0,32,4,10000000,8679.097826086956,4818,793659,32.338257,0.991176,20.543346,67209812,67371008,-161196,-0.239839980507608,3,h10
h7,260.106,0.0,67,3,10000000,7535.735849056604,5022,793766,30.283621,0.987248,18.944241,67209812,67371008,-161196,-0.239839980507608,3,h14
h8,217.48,0.0,49,2,10000000,12849.457142857143,996078,802846,24.990251,0.975939,16.186865,67209812,67108864,100948,0.1501983073542893,3,h14
h9,291.882,0.0,78,3,10000000,28016.55172413793,4058018,816862,28.545397,0.976603,16.308491,67209812,65798144,1411668,2.1003897466637755,3,h14
h11,477.109,0.0,58,2,10000000,39031.91346153846,7273084,845554,32.646073,0.989806,19.916511,67209812,67108864,100948,0.1501983073542893,3,h10
h12,535.645,0.0,79,3,10000000,46393.23966942149,10346598,880566,25.361421,0.971377,15.432781,67209812,65798144,1411668,2.1003897466637755,3,h10
h13,293.07,0.0,53,2,10000000,59544.70652173913,15517474,916865,25.679538,0.964893,14.546001,67209812,62652416,4557396,6.780849201006543,3,h10
h1,330.547,0.0,109,4,10000000,76477.92580645162,22748650,959507,25.647161,0.964052,14.443197,67209812,60293120,6916692,10.29119379176362,3,h10
h2,330.329,0.0,263,4,10000000,96278.90406976744,32109216,1010727,21.268598,0.928048,11.429596,67209812,59506688,7703124,11.461308655349312,3,h10
h3,231.752,0.0,132,2,10000000,109986.41688654352,40650446,1034406,25.862342,0.965679,14.644396,67209812,62652416,4557396,6.780849201006543,3,h14
h4,315.558,0.0,199,3,10000000,118600.58111380144,47897478,1084562,26.020521,0.966521,14.752305,67209812,60293120,6916692,10.29119379176362,3,h14
h6,171.941,0.0,66,1,10000000,130631.7673378076,57246030,1146370,25.577554,0.963886,14.423272,67209812,59506688,7703124,11.461308655349312,3,h14
h7,258.082,0.0,30,3,10000000,19626.19540229885,5028,1702451,35.441674,0.993517,21.882384,67209812,67371008,-161196,-0.239839980507608,3,h14
h8,263.982,0.0,46,3,10000000,17079.37,4824,1703113,36.979642,0.995576,23.542267,67209812,67371008,-161196,-0.239839980507608,3,h10
h9,210.913,0.0,58,2,10000000,20144.917910447763,983588,1715831,33.476632,0.992689,21.360018,67209812,67108864,100948,0.1501983073542893,3,h10
h11,237.991,0.0,47,2,10000000,34667.869047619046,4084186,1740016,30.1784,0.98364,17.862257,67209812,66060288,1149524,1.7103514588018789,3,h10
h12,371.513,0.0,45,2,10000000,44638.514851485146,7275948,1741032,36.548786,0.994642,22.70994,67209812,67108864,100948,0.1501983073542893,3,h14
h13,538.891,0.0,44,2,10000000,51323.30508474576,10352032,1760268,29.922575,0.982983,17.691117,67209812,66060288,1149524,1.7103514588018789,3,h14
h1,480.425,0.0,72,3,10000000,63873.9594095941,15522574,1787269,26.14614,0.969626,15.174968,67209812,62914560,4295252,6.390810913144645,3,h14
h2,271.05,0.0,66,3,10000000,80824.23278688524,22792470,1858921,25.897229,0.966727,14.779056,67209812,60293120,6916692,10.29119379176362,3,h14
h3,229.452,0.0,45,2,10000000,106904.93510324485,32151760,4089013,25.774607,0.964148,14.454909,67209812,59506688,7703124,11.461308655349312,3,h14
h4,285.43,0.0,83,3,10000000,132506.65683646113,40683102,8741881,26.357199,0.965639,14.639353,67209812,62914560,4295252,6.390810913144645,3,h10
h5,331.751,0.0,108,4,10000000,156053.29484029484,47913636,15600055,25.780613,0.9639,14.424915,67209812,60293120,6916692,10.29119379176362,3,h10
h6,286.09,0.0,86,3,10000000,185872.8503401361,57240568,24729359,21.414949,0.942097,12.373024,67209812,59506688,7703124,11.461308655349312,3,h10
h8,258.764,0.0,78,3,10000000,732.4303797468355,4860,53002,34.421609,0.994731,22.782522,67209812,67371008,-161196,-0.239839980507608,3,h10
h9,284.259,0.0,75,3,10000000,658.4782608695652,4986,55594,37.405851,0.996509,24.569951,67209812,67371008,-161196,-0.239839980507608,3,h14
h11,164.853,0.0,26,1,10000000,8340.36220472441,998124,61102,34.674949,0.992792,21.421562,67209812,67108864,100948,0.1501983073542893,3,h14
h12,238.647,0.0,51,2,10000000,25848.06832298137,4084348,77191,25.781418,0.974292,15.899343,67209812,65798144,1411668,2.1003897466637755,3,h14
h13,423.449,0.0,50,2,10000000,37794.62564102564,7275780,94172,34.253511,0.993068,21.591503,67209812,67108864,100948,0.1501983073542893,3,h10
h1,731.025,0.0,104,4,10000000,45824.81222707424,10376378,117504,25.694626,0.974891,16.001721,67209812,65798144,1411668,2.1003897466637755,3,h10
h2,462.864,0.0,100,4,10000000,59612.661596958176,15525422,152708,25.873705,0.966733,14.779847,67209812,62652416,4557396,6.780849201006543,3,h10
h3,332.5,0.0,99,4,10000000,77411.50168350169,22796230,194986,25.590645,0.964186,14.459502,67209812,60293120,6916692,10.29119379176362,3,h10
h4,284.349,0.0,78,3,10000000,97903.2084592145,32159532,246430,21.737716,0.942706,12.418934,67209812,59244544,7965268,11.851346943211208,3,h10
