host,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server
h4,38.830133,0.997189,25.512056,67209812,67371008,-161196,-0.239839980507608,2,h14
h5,35.566956,0.995462,23.430899,67209812,67371008,-161196,-0.239839980507608,2,h10
h6,37.296205,0.996302,24.32073,67209812,67371008,-161196,-0.239839980507608,2,h14
h1,38.42416,0.997866,26.70835,67209812,67371008,-161196,-0.239839980507608,2,h10
h2,36.905567,0.997583,26.166746,67209812,67371008,-161196,-0.239839980507608,2,h14
h3,32.512669,0.99274,21.39037,67209812,67371008,-161196,-0.239839980507608,2,h10
h4,33.226215,0.993294,21.735224,67209812,67371008,-161196,-0.239839980507608,2,h14
h5,37.231022,0.997305,25.694103,67209812,67371008,-161196,-0.239839980507608,2,h10
h6,32.307461,0.992248,21.105806,67209812,67371008,-161196,-0.239839980507608,2,h14
h1,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h2,38.870621,0.997806,26.588092,67209812,67371008,-161196,-0.239839980507608,2,h14
h3,32.384861,0.993147,21.640952,67209812,67371008,-161196,-0.239839980507608,2,h10
h4,31.815744,0.991891,20.910065,67209812,67371008,-161196,-0.239839980507608,2,h14
h5,32.014824,0.987502,19.031579,67209812,67371008,-161196,-0.239839980507608,2,h10
h6,29.51696,0.994864,22.89364,67209812,67371008,-161196,-0.239839980507608,2,h14
h1,33.507919,0.993266,21.717071,67209812,67371008,-161196,-0.239839980507608,3,h14
h2,38.618248,0.997596,26.191445,67209812,67371008,-161196,-0.239839980507608,3,h14
h3,33.347131,0.994278,22.424758,67209812,67371008,-161196,-0.239839980507608,3,h10
h4,32.449858,0.994893,22.917937,67209812,67371008,-161196,-0.239839980507608,3,h10
h5,33.242972,0.9946,22.676422,67209812,67371008,-161196,-0.239839980507608,3,h14
h6,36.94369,0.997361,25.785476,67209812,67371008,-161196,-0.239839980507608,3,h10
h1,37.742119,0.997018,25.255045,67209812,67371008,-161196,-0.239839980507608,3,h14
h2,39.598864,0.998284,27.654846,67209812,67371008,-161196,-0.239839980507608,3,h10
h3,36.816416,0.996309,24.328871,67209812,67371008,-161196,-0.239839980507608,3,h10
h4,40.425613,0.998244,27.555887,67209812,67371008,-161196,-0.239839980507608,3,h10
h5,36.598024,0.9969,25.0859,67209812,67371008,-161196,-0.239839980507608,3,h14
h6,40.402837,0.99845,28.095826,67209812,67371008,-161196,-0.239839980507608,3,h14
h1,40.618644,0.998575,28.461188,67209812,67371008,-161196,-0.239839980507608,3,h10
h2,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h14
h3,40.384316,0.998223,27.503076,67209812,67371008,-161196,-0.239839980507608,3,h10
h4,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h14
h5,39.77439,0.998472,28.160171,67209812,67371008,-161196,-0.239839980507608,3,h14
h6,39.470017,0.998387,27.923843,67209812,67371008,-161196,-0.239839980507608,3,h10
h1,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h14
h2,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h10
h3,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h14
h4,39.774303,0.998479,28.179853,67209812,67371008,-161196,-0.239839980507608,3,h10
h5,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h10
h6,39.466286,0.9985,28.238442,67209812,67371008,-161196,-0.239839980507608,3,h14
h1,38.463825,0.998068,27.140808,67209812,67371008,-161196,-0.239839980507608,3,h10
h2,40.51881,0.998189,27.420637,67209812,67371008,-161196,-0.239839980507608,3,h10
h3,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h14
h4,36.761734,0.996997,25.224905,67209812,67371008,-161196,-0.239839980507608,3,h14
h5,37.02535,0.996344,24.369442,67209812,67371008,-161196,-0.239839980507608,3,h14
h6,38.367911,0.996869,25.042502,67209812,67371008,-161196,-0.239839980507608,3,h10
h1,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h10
h2,36.392921,0.996821,24.97642,67209812,67371008,-161196,-0.239839980507608,3,h10
h3,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,3,h14
h4,35.263949,0.995792,23.758744,67209812,67371008,-161196,-0.239839980507608,3,h14
