host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,type,server
h5,337.136,0.0,61,4,10000000,1103.3253012048192,4860,86716,36.413021,0.995929,23.90264,3,h10
h6,445.086,0.0,24,1,10000000,1123.639175257732,4860,104133,36.538767,0.99601,23.990814,3,h14
h7,337.576,0.0,68,3,10000000,8485.601503759399,1014218,114367,33.884709,0.992547,21.276644,3,h14
h8,206.44,0.0,54,2,10000000,25554.68047337278,4192278,126463,29.80647,0.9818,17.399348,3,h14
h9,534.651,0.0,50,2,10000000,37307.41463414634,7507434,140586,33.73527,0.99184,20.883316,3,h10
h11,406.95,0.0,50,2,10000000,44997.34439834025,10679790,164570,28.479673,0.981711,17.378031,3,h10
h12,304.023,0.0,76,3,10000000,58565.71841155235,16020208,202496,26.466551,0.969837,15.20519,3,h10
h13,214.936,0.0,49,2,10000000,75922.49201277955,23518812,244928,22.277441,0.946842,12.744291,3,h10
h1,311.88,0.0,102,4,10000000,95901.17478510027,33173014,296496,25.531808,0.96234,14.241254,3,h10
h2,342.048,0.0,71,3,10000000,109996.82857142856,41977448,371331,25.390786,0.96589,14.67112,3,h14
h3,209.196,0.0,49,2,10000000,118146.73696682464,49425198,432725,26.088393,0.966633,14.766813,3,h14
h4,258.803,0.0,67,3,10000000,130085.30349344978,59075164,503905,21.128899,0.941872,12.356159,3,h14
h6,173.259,0.0,27,1,10000000,13267.4,5118,1122611,36.417407,0.995723,23.688227,3,h14
h7,356.684,0.0,92,4,10000000,11461.755102040815,4860,1118392,34.033658,0.993311,21.746292,3,h10
h8,258.604,0.0,67,3,10000000,15983.365671641792,1015200,1126571,36.478981,0.99465,22.716341,3,h10
h9,205.183,0.0,48,2,10000000,31355.829411764706,4189562,1140929,29.303156,0.982158,17.485506,3,h10
h11,280.477,0.0,30,1,10000000,42147.155339805824,7507692,1174622,35.760197,0.99374,22.034058,3,h14
h12,409.36,0.0,55,2,10000000,49094.157024793385,10682012,1198774,29.67868,0.981923,17.428645,3,h14
h13,290.682,0.0,63,2,10000000,61981.26978417266,15995596,1235197,24.257846,0.964477,14.494919,3,h14
h1,262.862,0.0,74,3,10000000,78970.61464968153,23519028,1277745,25.900125,0.966559,14.757271,3,h14
h2,265.95,0.0,75,3,10000000,98551.28857142857,33123698,1369253,20.261526,0.90136,10.059478,3,h14
h3,375.129,0.0,116,5,10000000,118356.8549222798,41934728,3751018,27.01758,0.971545,15.458343,3,h10
h4,261.629,0.0,74,3,10000000,137813.1895734597,49425282,8731884,25.924486,0.966536,14.754196,3,h10
h5,309.771,0.0,98,4,10000000,164196.03050108932,59069468,16296510,21.688044,0.94447,12.554759,3,h10
h7,341.463,0.0,138,6,10000000,630.9659090909091,4904,50621,35.629949,0.994481,22.58122,3,h10
