host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,type,server
h1,304.949,0.0,96,4,10000000,26218.73809523809,4189478,215270,24.182005,0.944769,12.578179,3,h10
h7,391.106,0.0,75,3,10000000,37827.30392156863,7506536,210234,24.439236,0.972698,15.638026,3,h14
h8,249.07,0.0,55,2,10000000,45461.89166666667,10681880,228974,27.018659,0.976085,16.21327,3,h14
h9,,100.0,52,2,10000000,23909.652173913044,6541032,58032,30.879015,0.984968,18.229805,3,h14
h11,1425.112,0.0,56,3,10000000,31943.259615384617,9898480,67817,21.787769,0.915256,10.718931,3,h10
h12,,100.0,79,3,10000000,35024.23275862069,12080852,107581,20.666454,0.902942,10.129683,3,h10
h13,,100.0,68,3,10000000,44457.765625,15232159,1839623,20.468337,0.89466,9.774058,3,h10
h6,367.547,0.0,43,2,10000000,61820.60476190476,20575399,5389255,19.3143,0.876545,9.084921,3,h10
h5,,100.0,52,2,10000000,88861.8249452954,29029662,11580192,18.563683,0.872471,8.943909,3,h10
h3,220.055,0.0,48,2,10000000,1179.8735632183907,5072,97577,36.479182,0.995883,23.854451,3,h14
h2,611.943,0.0,73,4,10000000,1702.76,4818,165458,36.305861,0.995422,23.393151,3,h10
h1,311.024,0.0,91,4,10000000,8736.79411764706,1015158,173046,33.81055,0.991472,20.691697,3,h10
h7,308.897,0.0,97,4,10000000,25446.81976744186,4189478,187375,25.172109,0.974317,15.903463,3,h10
h8,506.859,0.0,49,2,10000000,36759.22115384616,7507562,138356,32.106521,0.98955,19.808841,3,h14
h9,418.328,0.0,72,3,10000000,44459.92622950819,10681994,166228,25.498373,0.971527,15.455592,3,h14
h11,171.126,0.0,24,1,10000000,57971.85357142857,16017460,214659,26.112535,0.967273,14.850968,3,h14
h12,209.026,0.0,54,2,10000000,75258.24367088608,23505880,275725,25.76749,0.965241,14.58936,3,h14
h13,210.578,0.0,48,2,10000000,94887.42492917848,33148854,346407,20.946334,0.937961,12.073332,3,h14
h6,263.762,0.0,89,3,10000000,108741.14652956298,41938988,361318,25.255816,0.966587,14.760824,3,h10
h5,317.18,0.0,95,4,10000000,117221.08705882353,49415460,403502,22.198618,0.948453,12.87796,3,h10
h4,266.122,0.0,70,3,10000000,129141.24078091106,59074702,459410,20.97994,0.939166,12.15855,3,h10
h2,336.832,0.0,150,4,10000000,35623.322222222225,4818,3201281,31.348488,0.987724,19.109488,3,h10
h1,561.389,0.0,100,4,10000000,32012.436893203885,4986,3292295,33.415333,0.992731,21.38527,3,h14
h7,345.717,0.0,189,3,10000000,30919.742857142857,1021226,3307538,32.651852,0.989729,19.883762,3,h14
h8,205.238,0.0,63,2,10000000,42731.73863636364,4189688,3331098,25.668102,0.973106,15.703415,3,h14
h9,507.023,0.0,55,2,10000000,50816.71226415094,7505240,3267903,33.092572,0.989177,19.656585,3,h10
h11,377.925,0.0,54,2,10000000,56357.99596774193,10684428,3292355,24.374305,0.967252,14.848163,3,h10
h12,286.6,0.0,84,3,10000000,67959.9542253521,15970220,3330407,25.834084,0.964333,14.477373,3,h10
h13,216.684,0.0,54,2,10000000,83810.890625,23446734,3372751,25.974095,0.966548,14.755738,3,h10
h6,263.61,0.0,85,3,10000000,102308.32773109245,33100126,3423947,25.407909,0.961297,14.122562,3,h10
h5,294.962,0.0,56,2,10000000,115813.51908396948,41935898,3578815,26.608494,0.970677,15.327852,3,h14
h4,260.684,0.0,81,3,10000000,123673.29370629373,49415764,3640079,26.138623,0.96704,14.820182,3,h14
h3,205.193,0.0,59,2,10000000,134948.18279569893,59040036,3710869,25.34232,0.95998,13.977249,3,h14
h1,326.959,0.0,84,4,10000000,2710.6543209876545,4736,214827,35.580369,0.99473,22.781677,3,h10
h7,565.559,0.0,69,3,10000000,3340.7684210526318,4986,312387,34.171328,0.9941,22.291546,3,h14
h8,214.328,0.0,47,2,10000000,10201.496183206107,1015326,321070,33.646547,0.992241,21.101694,3,h14
h9,259.141,0.0,75,3,10000000,27096.502994011975,4189688,335428,26.152431,0.9754,16.090604,3,h14
h11,550.773,0.0,59,2,10000000,38290.32019704433,7506328,266607,35.744712,0.99371,22.013785,3,h10
h12,447.407,0.0,82,3,10000000,45899.74476987448,10679708,290331,25.900671,0.96909,15.099032,3,h10
h13,231.893,0.0,55,2,10000000,59261.483636363635,15970180,326728,26.194443,0.9707,15.331355,3,h10
h6,269.324,0.0,80,3,10000000,76386.92948717948,23451374,381348,25.645795,0.964061,14.444376,3,h10
h5,310.955,0.0,105,4,10000000,96595.46551724138,33184470,430752,25.42516,0.960937,14.082377,3,h10
h4,264.101,0.0,71,3,10000000,110800.23958333333,41986474,560818,25.874444,0.965325,14.599895,3,h14
h3,207.838,0.0,50,2,10000000,119186.50952380952,49436082,622252,25.89523,0.964135,14.453322,3,h14
h2,256.748,0.0,74,3,10000000,131153.8245614035,59087176,718968,21.923044,0.940821,12.278318,3,h14
