host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,h10gelen,h10giden,h10toplam,h14gelen,h14giden,h14toplam,type,server,tahmin_mos,real_mos
h21,1438.583,0.0,68,3,10000000,19.249863,0.861143,8.574336,67209812,57933824,9275988,14.041378363028304,3535356,512094,7469475,16231356,559832,36693615,6,h14,[3.81927342],2
h22,1321.391,0.0,67,3,10000000,17.025756,0.822518,7.50846,67209812,52953088,14256724,21.45210583240436,5633684,702781,13805940,24407644,938124,62039383,6,h14,[3.8248317],2
h23,332.801,0.0,94,4,10000000,37.110759,0.996327,24.349517,67209812,67371008,-161196,0.0,7732082,5223151,26761173,34640070,5730558,102410011,6,h10,[3.88938155],5
h1,1339.856,0.0,68,3,10000000,16.787574,0.806826,7.140506,67209812,50331648,16878164,25.352488711023323,11254724,14328395,52344292,45155904,15092379,162658294,6,h14,[3.62663638],2
h2,1290.536,0.0,67,3,10000000,16.959547,0.793334,6.847308,67209812,48234496,18975316,28.472795013918507,15445650,27968447,95758389,57532262,28992418,249182974,6,h14,[3.33949491],2
h3,1186.17,0.0,47,2,10000000,16.759932,0.78069,6.589412,67209812,46137344,21072468,31.593101316813684,19641340,46189997,161589726,72075994,47461840,368720808,6,h14,[3.0558987],2
h4,263.251,0.0,70,3,10000000,34.395884,0.992618,21.318255,67209812,67108864,100948,0.3900382878618973,23806026,69043655,254439407,88553156,70691513,527965477,6,h10,[2.79016807],5
h5,1256.587,0.0,51,2,10000000,16.337651,0.761961,6.233522,67209812,44302336,22907476,34.32336933184696,29409964,96375515,380224886,105322948,98241480,731529905,6,h14,[2.72693487],2
h7,1051.921,0.0,78,3,10000000,16.729749,0.754465,6.098864,67209812,41943040,25266772,37.83371392260404,35661586,127824077,543710549,123715320,129939922,985185147,6,h14,[2.47227595],2
h8,399.518,0.0,78,3,10000000,32.005948,0.986693,18.759051,67209812,65011712,2198100,3.510344590757076,41996068,163494916,749201533,143090556,166198388,1294474091,6,h10,[2.58410121],4
h6,1229.562,0.0,26,1,10000000,16.529616,0.74994,6.019553,67209812,40370176,26839636,40.173943649775424,49643410,203509436,1002354379,162417260,206372032,1663263383,6,h14,[2.52218675],2
h11,153.268,0.0,14,1,10000000,35.441523,0.994367,22.492819,67209812,67371008,-161196,0.0,9956,1939953,1949909,9832,1722223,1732055,6,h14,0,5
h12,204.948,0.0,47,2,10000000,28.256131,0.97464,15.958515,67209812,66584576,625236,1.170114863585692,10908,1946387,3907204,1890204,1733021,5355280,6,h14,[4.28519666],4
h13,212.688,0.0,61,2,10000000,35.683051,0.994276,22.423202,67209812,67371008,-161196,0.0,11874,1948563,5867641,5902700,1752837,13010817,6,h10,[3.90668208],5
h21,330.201,0.0,118,4,10000000,23.025186,0.968847,15.064951,67209812,66846720,363092,0.7800765757237946,1437154,1956103,9260898,10118614,1773195,24902626,6,h10,[3.94455877],4
h22,540.934,0.0,92,3,10000000,23.576827,0.937565,12.045693,67209812,64487424,2722388,4.29042116648087,4961760,1973653,16196311,14335280,1794411,41032317,6,h14,[3.81111687],3
h23,979.707,0.0,127,4,10000000,25.104269,0.963432,14.368978,67209812,65273856,1935956,3.1203063028951785,9157450,1998500,27352261,20401732,1827164,63261213,6,h10,[3.97612965],4
h1,1260.307,0.0,94,3,10000000,21.246455,0.909721,10.44414,67209812,60555264,6654548,10.14099548440933,15081734,2026252,44460247,26818412,1858190,91937815,6,h14,[3.88129087],3
h2,1110.682,0.0,92,3,10000000,20.308408,0.897515,9.893412,67209812,57147392,10062420,15.211493226613996,21066794,2061490,67588531,34889714,1904010,128731539,6,h14,[3.70730507],3
h3,964.302,0.0,67,2,10000000,20.24999,0.890443,9.60361,67209812,55312384,11897428,17.941761241647274,27359846,2106094,97054471,45169838,1959870,175861247,6,h14,[3.5411118],3
h4,270.656,0.0,84,3,10000000,23.598696,0.950264,13.033283,67209812,61865984,5343828,8.190804045099844,33563270,2160468,132778209,57438812,2024136,235324195,6,h10,[3.13727878],4
h5,632.758,0.0,67,2,10000000,18.714076,0.875057,9.032869,67209812,54263808,12946004,19.501914393094864,41369658,2223674,176371541,70136004,2100996,307561195,6,h14,[2.87568384],2
h7,532.228,0.0,84,3,10000000,20.124687,0.879767,9.199756,67209812,53215232,13994580,21.06206754454245,49690960,2296938,228359439,84608338,2185648,394355181,6,h14,[2.70512836],2
h8,306.657,0.0,76,3,10000000,22.417037,0.933096,11.745476,67209812,58720256,8489556,12.871263499442612,58081374,2371616,288812429,101124256,2276862,497756299,6,h10,[2.90857964],3
h9,307.618,0.0,50,2,10000000,21.735387,0.927687,11.407844,67209812,57409536,9800276,14.8214549387521,67815228,2464321,359091978,117785000,2371141,617912440,6,h10,[3.09900667],3
h6,263.821,0.0,94,3,10000000,19.74391,0.913005,10.605057,67209812,56623104,10586708,15.991569802337793,79707434,2563753,441363165,134535684,2470823,754918947,6,h10,[2.62304149],3
h12,203.83,0.0,48,2,10000000,35.641561,0.994738,22.788561,67209812,67371008,-161196,0.0,9830,803737,813567,9648,804065,813713,6,h14,0,5
h13,203.252,0.0,55,2,10000000,36.639971,0.996014,23.994688,67209812,67371008,-161196,0.0,10782,806553,1630902,1912338,814471,3540522,6,h10,[4.33029088],5
h21,343.238,0.0,72,3,10000000,26.07108,0.96258,14.268991,67209812,66584576,625236,1.170114863585692,1524498,814981,3970381,4026210,825519,8392251,6,h14,[3.93947215],4
h22,339.991,0.0,72,3,10000000,23.706874,0.928201,11.438826,67209812,64225280,2984532,4.680459454342768,3634108,825959,8430448,8093244,844617,17330112,6,h14,[3.7973647],3
h23,531.065,0.0,106,4,10000000,35.475514,0.993766,22.052018,67209812,67108864,100948,0.3900382878618973,5633700,837187,14901335,14123552,874285,32327949,6,h10,[3.86898652],5
h1,1395.765,0.0,72,3,10000000,20.671128,0.899683,9.986244,67209812,60030976,7178836,10.921072060133124,9199786,863068,24964189,20457632,913884,53699465,6,h14,[3.96941018],3
h2,1209.34,0.0,72,3,10000000,19.360221,0.881065,9.246898,67209812,55836672,11373140,17.16168466592348,13351120,891580,39206889,28609758,961044,83270267,6,h14,[3.85304091],3
h3,1196.794,0.0,52,2,10000000,19.807765,0.874943,9.02892,67209812,54001664,13208148,19.891952680956763,17545598,927134,57679621,38840044,1017287,123127598,6,h14,[3.76157709],2
h4,1198.892,0.0,80,3,10000000,17.598404,0.85469,8.377048,67209812,52428800,14781012,22.232182408128143,21707944,972356,80359921,51212424,1083434,175423456,6,h14,[3.5139595],2
h5,860.933,0.0,56,2,10000000,18.022319,0.852141,8.301518,67209812,51380224,15829588,23.792335559575736,25936978,1026422,107323321,65814780,1158770,242397006,6,h14,[3.2213061],2
h7,859.045,0.0,70,3,10000000,17.815742,0.850621,8.257097,67209812,50331648,16878164,25.352488711023323,30129116,1187874,138640311,82395936,1494104,326287046,6,h14,[2.81640036],2
h8,285.096,0.0,79,3,10000000,29.238823,0.980514,17.10283,67209812,66060288,1149524,1.9501914393094864,34284952,4784833,177710096,100700906,5343396,432331348,6,h10,[2.97772495],4
h9,249.921,0.0,54,2,10000000,26.113955,0.968293,14.988397,67209812,62914560,4295252,6.630650893652254,39856310,11918132,229484538,119386302,12705576,564423226,6,h10,[3.16127046],4
h11,223.837,0.0,54,2,10000000,26.074718,0.967508,14.882266,67209812,60555264,6654548,10.14099548440933,47542658,22558501,299585697,137864258,23545855,725833339,6,h10,[3.10245375],4
h6,501.404,0.0,80,3,10000000,21.314738,0.943432,12.474324,67209812,59506688,7703124,11.70114863585692,57329328,36874194,393789219,156683112,38051769,920568220,6,h10,[2.68978857],3
h13,214.417,0.0,47,2,10000000,32.780867,0.989047,19.60465,67209812,67108864,100948,0.3900382878618973,9788,1814734,1824522,9664,1813516,1823180,6,h14,0,4
h21,333.575,0.0,92,4,10000000,17.461533,0.74664,5.962613,67209812,60817408,6392404,9.750957196547432,10740,1819877,3655139,1943324,1823712,5590216,6,h10,[4.33522797],2
h22,617.754,0.0,77,3,10000000,26.257879,0.963799,14.412738,67209812,66322432,887380,1.5601531514475893,1489992,1827627,6972758,4036596,1835128,11461940,6,h14,[3.9222549],4
h23,705.527,0.0,54,2,10000000,23.652805,0.935704,11.918138,67209812,64487424,2722388,4.29042116648087,3625584,2014695,12613037,8062618,2208734,21733292,6,h14,[3.8207591],3
h1,1210.463,0.0,103,4,10000000,15.854004,0.689123,5.074119,67209812,58195968,9013844,13.651340075166408,5632676,6492987,24738700,14123638,6926782,42783712,6,h10,[4.00447746],2
h2,1041.205,22.22222222222222,100,4,10000000,15.797577,0.676229,4.897626,67209812,56885248,10324564,15.60153151447589,9155388,15372188,49266276,20429138,16063284,79276134,6,h10,[4.01005438],2
h3,318.638,0.0,97,4,10000000,26.665064,0.97108,15.387999,67209812,62914560,4295252,6.630650893652254,14773574,28746834,92786684,26694644,29672667,135643445,6,h10,[3.67075873],4
h4,879.23,44.44444444444444,79,3,10000000,18.147157,0.757,6.143933,67209812,55050240,12159572,18.331799529509173,22443084,46237498,161467266,32947070,47406039,215996554,6,h10,[3.26853342],2
h5,1302.045,0.0,100,2,10000000,20.93732,0.90021,10.009123,67209812,60030976,7178836,10.921072060133124,32304456,68449076,262220798,39280748,69812907,325090209,6,h14,[3.09710742],3
h7,1217.613,0.0,149,3,10000000,19.903693,0.881097,9.248089,67209812,56098816,11110996,16.771646378061583,42694610,98368953,403284361,47424348,99994339,472508896,6,h14,[2.6218214],3
h8,1229.301,0.0,104,2,10000000,17.679778,0.86203,8.602151,67209812,54263808,12946004,19.501914393094864,53145460,133149400,589579221,57630838,135115529,665255263,6,h14,[2.4888284],2
h9,1187.014,0.0,151,3,10000000,17.651953,0.765594,6.300306,67209812,49020928,18188884,27.30268015033281,63618404,173352986,826550611,70063148,175580941,910899352,6,h14,[2.34832465],2
h11,994.795,0.0,51,1,10000000,17.816212,0.852305,8.306337,67209812,51380224,15829588,23.792335559575736,74103220,217243802,1117897633,84422044,219642537,1214963933,6,h14,[2.45636092],2
h12,284.414,0.0,151,3,10000000,21.992509,0.946595,12.724141,67209812,59506688,7703124,11.70114863585692,84594026,265831891,1468323550,101045128,268419254,1584428315,6,h10,[2.22565217],3
h6,841.689,0.0,49,1,10000000,19.54002,0.860631,8.558345,67209812,50331648,16878164,25.352488711023323,96483204,318055341,1882862095,117754068,320683894,2022866277,6,h14,[2.33537585],2
h21,340.145,0.0,104,3,10000000,32.655098,0.987839,19.150376,67209812,67371008,-161196,0.0,9900,138906,148806,9480,118496,127976,6,h14,0,4
h22,317.497,0.0,103,4,10000000,36.557785,0.995733,23.698457,67209812,67371008,-161196,0.0,10782,141302,300890,1932540,128510,2189026,6,h10,[4.35956956],5
h23,324.144,0.0,97,4,10000000,31.594389,0.98859,19.42706,67209812,67108864,100948,0.3900382878618973,1468838,149210,1918938,4015554,139670,6344250,6,h10,[4.00359532],4
h1,622.654,0.0,104,3,10000000,25.184103,0.955906,13.556201,67209812,66322432,887380,1.5601531514475893,5010630,166720,7096288,6113840,142490,12600580,6,h14,[3.64001827],4
h2,1409.236,0.0,134,3,10000000,23.07765,0.922354,11.098807,67209812,63700992,3508820,5.460536030066562,9156428,193372,16446088,10119144,161683,22881407,6,h14,[4.02148839],3
h3,1217.746,0.0,87,2,10000000,19.864482,0.884139,9.360637,67209812,59244544,7965268,12.091186923718816,13350154,225201,30021443,16206656,200880,39288943,6,h14,[3.93529981],3
h4,285.759,0.0,139,3,10000000,25.673953,0.972635,15.628083,67209812,65798144,1411668,2.340229727171384,17541080,261169,47823692,24380256,248374,63917573,6,h10,[3.86580157],4
h5,1324.62,0.0,86,2,10000000,19.129262,0.875991,9.065463,67209812,55312384,11897428,17.941761241647274,23356988,309081,71489761,32858690,296858,97073121,6,h14,[3.6804847],2
h7,1191.569,0.0,134,3,10000000,17.690521,0.850894,8.265036,67209812,52953088,14256724,21.45210583240436,29455044,359637,101304442,43058956,353518,140485595,6,h14,[3.3559327],2
h8,1008.241,0.0,86,2,10000000,17.463486,0.839827,7.954118,67209812,51380224,15829588,23.792335559575736,35700118,422265,137426825,55433800,418568,196337963,6,h14,[3.17984868],2
h9,1024.563,0.0,135,3,10000000,17.561428,0.834738,7.818272,67209812,50069504,17140308,25.742526998885225,41956586,495301,179878712,69919838,495020,266752821,6,h14,[2.85810321],2
h11,872.559,0.0,38,1,10000000,17.830107,0.826959,7.61851,67209812,48758784,18451028,27.692718438194703,48284474,568765,228731951,86370732,584872,353708425,6,h14,[2.7959527],2
h12,257.068,0.0,144,3,10000000,26.981169,0.970226,15.261662,67209812,62652416,4557396,7.020689181514152,54539732,642189,283913872,104402856,684852,458796133,6,h10,[2.75803849],4
h13,204.273,0.0,97,2,10000000,25.95655,0.966185,14.708936,67209812,60293120,6916692,10.531033772271227,62226616,723856,346864344,123026342,787740,582610215,6,h10,[2.80789316],4
h6,416.782,0.0,145,3,10000000,21.14304,0.940161,12.230192,67209812,59244544,7965268,12.091186923718816,72073852,816176,419754372,141692558,901066,725203839,6,h10,[2.64813491],3
h22,341.269,0.0,69,3,10000000,36.741128,0.995683,23.648017,67209812,67371008,-161196,0.0,9776,101267,111043,9774,104881,114655,6,h14,0,5
h23,313.905,0.0,103,4,10000000,31.827287,0.98379,17.902208,67209812,67371008,-161196,0.0,10658,105278,226979,1928008,115147,2157810,6,h10,[4.35956956],4
h1,324.762,0.0,110,4,10000000,25.4925,0.96009,13.98923,67209812,66584576,625236,1.170114863585692,1449032,112888,1788899,4031204,118157,6307171,6,h10,[4.00604482],4
h2,373.58,0.0,77,3,10000000,22.706416,0.965399,14.609147,67209812,66846720,363092,0.7800765757237946,4960544,129966,6879409,6124622,119797,12551590,6,h14,[3.64225623],4
h3,959.672,0.0,103,4,10000000,22.797795,0.937149,12.01687,67209812,64487424,2722388,4.29042116648087,9154340,157488,16191237,10109256,139125,22799971,6,h10,[4.03595816],3
h4,1040.429,0.0,78,3,10000000,21.551734,0.918568,10.892063,67209812,60293120,6916692,10.531033772271227,14772526,195850,31159613,14311586,170751,37282308,6,h10,[3.9836276],3
h5,407.58,0.0,57,2,10000000,22.634565,0.953459,13.321635,67209812,65011712,2198100,3.510344590757076,22489286,240902,53889801,18482382,209351,55974041,6,h14,[3.86621937],4
h7,426.791,0.0,76,3,10000000,23.802208,0.947196,12.773371,67209812,61603840,5605972,8.58084233296174,30879700,289236,85058737,24602788,255821,80832650,6,h14,[3.5898381],3
h8,261.936,0.0,51,2,10000000,21.577771,0.93257,11.711457,67209812,58720256,8489556,12.871263499442612,39221350,343438,124623525,32730220,312351,113875221,6,h14,[3.58505846],3
h9,820.665,0.0,51,2,10000000,20.198882,0.894311,9.759694,67209812,56885248,10324564,15.60153151447589,47593840,407165,172624530,42989566,378037,157242824,6,h10,[3.56115543],3
h11,621.271,0.0,51,2,10000000,18.30293,0.873398,8.975586,67209812,55050240,12159572,18.331799529509173,57356448,479278,230460256,53385888,448727,211077439,6,h10,[3.4392018],2
h12,210.565,0.0,50,2,10000000,22.084329,0.925301,11.266823,67209812,57147392,10062420,15.211493226613996,69389770,561956,300411982,64069048,528473,275674960,6,h14,[2.97945754],3
h13,377.342,0.0,52,2,10000000,18.26851,0.867071,8.763797,67209812,53739520,13470292,20.28199096881866,81796628,648632,382857242,76230372,610797,352516129,6,h10,[2.63113524],2
h21,286.129,0.0,70,3,10000000,19.280171,0.90369,10.163268,67209812,56098816,11110996,16.771646378061583,95854478,742762,479454482,88935084,711737,442162950,6,h14,[2.42550121],3
h6,278.175,0.0,80,3,10000000,18.524351,0.867071,8.763816,67209812,52690944,14518868,21.842144120266248,110487762,844448,590786692,103352920,811103,546326973,6,h10,[2.35646814],2
h23,285.165,0.0,22,2,10000000,29.727703,0.982676,17.613562,67209812,67371008,-161196,0.0,9942,3016106,3026048,9990,2729999,2739989,6,h14,0,4
h1,352.787,0.0,51,3,10000000,26.325156,0.960451,14.028674,67209812,66584576,625236,1.170114863585692,10824,3018074,6054946,1907624,2739565,7387178,6,h14,[4.16510648],4
h2,326.203,0.0,108,4,10000000,34.122337,0.99028,20.123149,67209812,67371008,-161196,0.0,11790,3025730,9092466,5933834,2758887,16079899,6,h10,[4.05209717],5
h3,404.355,0.0,102,4,10000000,22.082176,0.955002,13.468087,67209812,66584576,625236,1.170114863585692,1462276,3042920,13597662,10118660,2779385,28977944,6,h10,[3.96017293],4
h4,728.24,0.0,84,3,10000000,25.826689,0.961463,14.141267,67209812,65011712,2198100,3.510344590757076,4935754,3073392,21606808,14314308,2796139,46088391,6,h10,[3.83358946],4
h5,1014.364,0.0,63,2,10000000,23.987069,0.938451,12.107792,67209812,64225280,2984532,4.680459454342768,10577968,3110746,35295522,18509512,2808811,67406714,6,h14,[3.95941581],3
h7,966.64,0.0,78,3,10000000,21.347284,0.907137,10.321562,67209812,60030976,7178836,10.921072060133124,16821004,3156142,55272668,24602510,2836609,94845833,6,h14,[3.86704239],3
h8,864.521,0.0,48,2,10000000,20.719575,0.892307,9.678124,67209812,56623104,10586708,15.991569802337793,23078986,3204392,81556046,32684468,2881561,130411862,6,h14,[3.70569287],3
h9,237.173,0.0,52,2,10000000,23.064296,0.942421,12.397384,67209812,61341696,5868116,8.970880620823637,29400188,3257724,114213958,42978800,2939405,176330067,6,h10,[3.57720616],3
h11,254.549,0.0,51,2,10000000,22.031685,0.927281,11.383545,67209812,58458112,8751700,13.261301787304507,37054380,3321788,154590126,53385096,3001797,232716960,6,h10,[3.46496793],3
h12,554.988,0.0,56,2,10000000,20.493674,0.885967,9.429692,67209812,55050240,12159572,18.331799529509173,46865262,3394662,204850050,63925312,3071038,299713310,6,h14,[3.1609369],3
