host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server,real_mos
h6,1160.71,0.0,26,1,10000000,14.491692,0.622243,4.227877,67209812,24641536,42568276,63.336400940981655,1,h14,2
h4,1348.002,0.0,64,3,10000000,31.006779,0.980352,17.066887,67209812,67108864,100948,0.1501983073542893,1,h14,4
h5,1105.498,0.0,43,2,10000000,20.227756,0.902888,10.127265,67209812,65011712,2198100,3.270504610249468,1,h14,3
h7,1369.798,0.0,66,3,10000000,18.90709,0.843897,8.065881,67209812,60555264,6654548,9.90115550390172,1,h14,2
h8,1350.338,0.0,51,2,10000000,17.066019,0.768182,6.348527,67209812,53739520,13470292,20.04215098831105,1,h14,2
h9,1298.868,0.0,72,3,10000000,16.010929,0.725223,5.610203,67209812,47710208,19499604,29.01303160913469,1,h14,2
h11,446.267,0.0,26,1,10000000,15.589264,0.695146,5.159083,67209812,43778048,23431764,34.863605927063155,1,h14,2
h12,222.068,0.0,48,2,10000000,14.900177,0.66387,4.734924,67209812,40632320,26577492,39.54406538140592,1,h14,2
h13,210.03,0.0,35,2,10000000,14.980358,0.649392,4.551784,67209812,37486592,29723220,44.22452483574869,1,h14,2
h21,370.886,0.0,66,3,10000000,14.161694,0.630744,4.326726,67209812,34865152,32344660,48.12490771436766,1,h14,2
h22,350.987,0.0,62,3,10000000,14.437183,0.62239,4.229564,67209812,31981568,35228244,52.41532888084853,1,h14,2
h23,287.552,0.0,42,2,10000000,14.863147,0.63028,4.32127,67209812,30146560,37063252,55.14559689588181,1,h14,2
h1,353.265,0.0,66,3,10000000,14.282051,0.616619,4.163689,67209812,28835840,38373972,57.0957883351913,1,h14,2
h2,349.206,0.0,62,3,10000000,14.260997,0.610793,4.098197,67209812,27000832,40208980,59.826056350224576,1,h14,2
h3,238.778,0.0,42,2,10000000,13.998946,0.610806,4.098342,67209812,25427968,41781844,62.16628607739596,1,h14,2
h6,367.689,0.0,22,1,10000000,13.892169,0.606474,4.05027,67209812,24117248,43092564,64.11647751670544,1,h14,2
h5,1192.854,0.0,27,2,10000000,30.460881,0.978465,16.668533,67209812,67108864,100948,0.1501983073542893,1,h14,4
h7,1144.642,0.0,41,3,10000000,22.875975,0.923507,11.163767,67209812,65011712,2198100,3.270504610249468,1,h14,3
h8,1266.97,0.0,50,2,10000000,18.842165,0.842308,8.02189,67209812,60817408,6392404,9.511117216039825,1,h14,2
h9,1466.258,0.0,59,4,10000000,16.757365,0.775278,6.483537,67209812,53739520,13470292,20.04215098831105,1,h14,2
h11,1135.319,0.0,26,1,10000000,15.668143,0.740141,5.852624,67209812,47972352,19237460,28.622993321272794,1,h14,2
h12,583.488,0.0,52,2,10000000,15.243158,0.701478,5.250243,67209812,44040192,23169620,34.47356763920125,1,h14,2
h13,210.444,0.0,35,2,10000000,15.040577,0.672279,4.84496,67209812,40894464,26315348,39.154027093544016,1,h14,2
h21,344.387,0.0,63,3,10000000,11.188722,0.422895,2.387453,67209812,41943040,25266772,37.59387394209643,1,h14,1
h22,368.757,0.0,63,3,10000000,14.202456,0.634276,4.368461,67209812,35389440,31820372,47.34483113864386,1,h14,2
h23,291.109,0.0,38,2,10000000,14.225625,0.632414,4.346414,67209812,32768000,34441812,51.24521401726284,1,h14,2
h1,338.028,0.0,63,3,10000000,14.227289,0.621828,4.223106,67209812,30408704,36801108,54.75555860801992,1,h14,2
h2,336.917,0.0,63,3,10000000,14.792485,0.624145,4.249798,67209812,29097984,38111828,56.7057500473294,1,h14,2
h3,220.083,0.0,38,2,10000000,14.294448,0.616065,4.157424,67209812,27262976,39946836,59.436018062362685,1,h14,2
h4,264.248,0.0,42,3,10000000,14.699839,0.625802,4.268986,67209812,25690112,41519700,61.77624778953407,1,h14,2
h6,341.257,0.0,20,1,10000000,13.922373,0.609088,4.079214,67209812,24379392,42830420,63.726439228843546,1,h14,2
h7,1156.733,0.0,127,3,10000000,21.136627,0.834923,7.823125,67209812,66846720,363092,0.5402365952161866,1,h14,2
