host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server,real_mos
h1,312.667,0.0,19,4,10000000.0,28.642797,0.973265,15.729195,67209812.0,66846720,363092,0.5402365952161866,2.0,h10,4.0
h2,262.018,0.0,38,3,10000000.0,32.956341,0.991215,20.562434,67209812.0,67371008,-161196,-0.239839980507608,2.0,h14,5.0
h3,385.589,0.0,36,6,10000000.0,23.048755,0.950641,13.066304,67209812.0,66322432,887380,1.3203131709399811,2.0,h10,4.0
h4,,100.0,26,3,10000000.0,29.884172,0.982841,17.655031,67209812.0,66846720,363092,0.5402365952161866,2.0,h14,4.0
h5,419.221,0.0,19,4,10000000.0,22.238237,0.925411,11.273245,67209812.0,64225280,2984532,4.440619473835159,2.0,h10,3.0
h7,361.235,0.0,37,3,10000000.0,25.275491,0.95757,13.723242,67209812.0,65011712,2198100,3.270504610249468,2.0,h14,4.0
h8,938.05,0.0,54,6,10000000.0,19.484916,0.88654,9.451584,67209812.0,59768832,7440980,11.071270367487411,2.0,h10,3.0
h9,634.241,0.0,33,4,10000000.0,23.882178,0.939577,12.187998,67209812.0,60817408,6392404,9.511117216039825,2.0,h14,3.0
h11,642.254,0.0,17,2,10000000.0,18.910629,0.887333,9.48202,67209812.0,56885248,10324564,15.361691533968283,2.0,h10,3.0
h12,421.986,0.0,44,5,10000000.0,20.538626,0.921457,11.048915,67209812.0,58195968,9013844,13.411500094658798,2.0,h14,3.0
h13,334.422,0.0,17,2,10000000.0,18.173293,0.876983,9.100352,67209812.0,55312384,11897428,17.70192126113967,2.0,h10,2.0
h21,309.334,0.0,33,4,10000000.0,19.535611,0.911956,10.552988,67209812.0,57409536,9800276,14.58161495824449,2.0,h14,3.0
h22,419.969,0.0,57,7,10000000.0,18.536485,0.867643,8.782536,67209812.0,54001664,13208148,19.652112700449152,2.0,h10,2.0
h23,207.891,0.0,17,2,10000000.0,19.413035,0.901568,10.068621,67209812.0,56360960,10848852,16.14176810969208,2.0,h14,3.0
h6,364.102,0.0,27,5,10000000.0,18.723599,0.868322,8.804855,67209812.0,53215232,13994580,20.822227564034847,2.0,h10,2.0
h2,316.864,0.0,119,4,10000000.0,35.345033,0.991901,20.915589,67209812.0,67371008,-161196,-0.239839980507608,2.0,h10,5.0
h3,283.237,0.0,30,2,10000000.0,35.925247,0.995206,23.193148,67209812.0,67371008,-161196,-0.239839980507608,2.0,h14,5.0
h4,264.176,0.0,78,3,10000000.0,29.268094,0.980236,17.041324,67209812.0,66846720,363092,0.5402365952161866,2.0,h10,4.0
h5,309.645,0.0,28,2,10000000.0,32.165838,0.988316,19.324027,67209812.0,66846720,363092,0.5402365952161866,2.0,h14,4.0
h7,604.579,0.0,104,5,10000000.0,21.518653,0.939671,12.194766,67209812.0,65011712,2198100,3.270504610249468,2.0,h10,3.0
h8,773.819,0.0,49,2,10000000.0,23.765714,0.963654,14.395374,67209812.0,65536000,1673812,2.490428034525673,2.0,h14,4.0
h9,953.69,0.0,56,2,10000000.0,22.50017,0.920044,10.971509,67209812.0,61079552,6130260,9.121078928177926,2.0,h10,3.0
h11,313.632,0.0,17,1,10000000.0,24.554544,0.954587,13.428188,67209812.0,62128128,5081684,7.560925776730339,2.0,h14,4.0
h12,829.313,0.0,73,3,10000000.0,21.503209,0.907081,10.318942,67209812.0,57409536,9800276,14.58161495824449,2.0,h10,3.0
h13,264.655,0.0,32,2,10000000.0,21.968311,0.940849,12.280386,67209812.0,58982400,8227412,12.241385231073105,2.0,h14,3.0
