host,psnr,ssim_first,ssim_second,type,server
h2,33.932625,0.993244,21.702955,3.0,h14
h3,29.211925,0.986361,18.652155,3.0,h14
h4,10.982879,0.477417,2.81845,3.0,h14
h5,39.00327,0.998286,27.659216,3.0,h10
h6,32.763057,0.993678,21.991112,3.0,h10
h1,36.623482,0.994986,22.998544,3.0,h14
h2,32.936495,0.990634,20.284451,3.0,h14
h3,30.625938,0.985643,18.429247,3.0,h14
h4,27.389071,0.979272,16.834361,3.0,h14
h5,39.783083,0.998489,28.207368,3.0,h10
h6,39.314766,0.99846,28.124412,3.0,h10
h1,35.557978,0.994538,22.626812,3.0,h14
h2,32.034641,0.990704,20.317182,3.0,h14
h3,31.736888,0.987623,19.07384,3.0,h14
h4,11.765256,0.391545,2.157713,3.0,h14
h5,34.616036,0.995309,23.287721,3.0,h10
h6,40.683995,0.998577,28.46854,3.0,h10
