host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server,real_mos
54,2.0,10000000.0,15.993296,0.729219,5.673824,67209812.0,42729472.0,24480340.0,36.423759078510734,1,h10,,,,
100,4.0,10000000.0,15.784762,0.721469,5.551263,67209812.0,40894464.0,26315348.0,39.154027093544016,1,h10,,,,
94,4.0,10000000.0,15.672246,0.709476,5.368176,67209812.0,38273024.0,28936788.0,43.05440997216299,1,h10,,,,
107,4.0,10000000.0,15.331174,0.698254,5.20358,67209812.0,35913728.0,31296084.0,46.56475456292007,1,h10,,,,
81,3.0,10000000.0,15.161065,0.687147,5.046593,67209812.0,34603008.0,32606804.0,48.51494600222955,1,h10,,,,
85,4.0,10000000.0,33.993174,0.990922,20.420266,67209812.0,67371008.0,-161196.0,-0.239839980507608,1,h10,,,,
101,4.0,10000000.0,21.21934,0.930387,11.573089,67209812.0,65798144.0,1411668.0,2.1003897466637755,1,h10,,,,
77,3.0,10000000.0,20.952742,0.88631,9.442794,67209812.0,62390272.0,4819540.0,7.170887488868441,1,h10,,,,
45,2.0,10000000.0,18.273489,0.825897,7.591947,67209812.0,56098816.0,11110996.0,16.53180639755398,1,h10,,,,
49,2.0,10000000.0,16.384164,0.79159,6.810819,67209812.0,51118080.0,16091732.0,23.942533866930024,1,h10,,,,
64,3.0,10000000.0,15.788856,0.760571,6.208228,67209812.0,47710208.0,19499604.0,29.01303160913469,1,h10,,,,
51,2.0,10000000.0,16.055159,0.741398,5.873679,67209812.0,45088768.0,22121044.0,32.91341448775366,1,h10,,,,
86,4.0,10000000.0,16.057944,0.730265,5.690621,67209812.0,42991616.0,24218196.0,36.03372079064884,1,h10,,,,
102,4.0,10000000.0,16.141273,0.720851,5.541645,67209812.0,40632320.0,26577492.0,39.54406538140592,1,h10,,,,
94,4.0,10000000.0,15.745665,0.713829,5.433749,67209812.0,38010880.0,29198932.0,43.44444826002489,1,h10,,,,
63,3.0,10000000.0,15.513628,0.70347,5.279319,67209812.0,35913728.0,31296084.0,46.56475456292007,1,h10,,,,
76,3.0,10000000.0,15.855434,0.694769,5.153709,67209812.0,34603008.0,32606804.0,48.51494600222955,1,h10,,,,
27,3.0,10000000.0,33.597354,0.990156,20.0684,67209812.0,67371008.0,-161196.0,-0.239839980507608,1,h14,,,,
23,3.0,10000000.0,23.925215,0.947295,12.781465,67209812.0,65798144.0,1411668.0,2.1003897466637755,1,h14,,,,
0,2.0,10000000.0,19.947641,0.878034,9.137613,67209812.0,62128128.0,5081684.0,7.560925776730339,1,h14,,,,
21,5.0,10000000.0,18.163303,0.826917,7.617462,67209812.0,56098816.0,11110996.0,16.53180639755398,1,h14,,,,
0,2.0,10000000.0,17.499731,0.798797,6.963661,67209812.0,51118080.0,16091732.0,23.942533866930024,1,h14,,,,
21,3.0,10000000.0,16.229267,0.762376,6.241103,67209812.0,47972352.0,19237460.0,28.622993321272794,1,h14,,,,
23,5.0,10000000.0,15.927875,0.741332,5.872577,67209812.0,45088768.0,22121044.0,32.91341448775366,1,h14,,,,
0,4.0,10000000.0,16.928276,0.739081,5.834936,67209812.0,42729472.0,24480340.0,36.423759078510734,1,h14,,,,
0,4.0,10000000.0,15.988784,0.72265,5.569717,67209812.0,40632320.0,26577492.0,39.54406538140592,1,h14,,,,
18,3.0,10000000.0,16.743823,0.718907,5.511505,67209812.0,38010880.0,29198932.0,43.44444826002489,1,h14,,,,
0,2.0,10000000.0,16.162029,0.70512,5.303545,67209812.0,35913728.0,31296084.0,46.56475456292007,1,h14,,,,
0,1.0,10000000.0,15.044654,0.684461,5.00947,67209812.0,34603008.0,32606804.0,48.51494600222955,1,h14,,,,
66,3.0,10000000.0,32.172948,0.988148,19.26192,67209812.0,67371008.0,-161196.0,-0.239839980507608,1,h14,,,,
45,2.0,10000000.0,24.278291,0.951186,13.114586,67209812.0,66060288.0,1149524.0,1.7103514588018789,1,h14,,,,
